71	3972
16	7756
36	7087
34	6266
60	2508
33	4674
13	8111
68	4429
9	7831
37	3228
88	7823
42	6763
17	4128
91	3903
32	7761
79	7230
72	5335
10	4853
90	7466
19	4342
45	4191
5	3355
96	6665
1	3163
85	8217
18	5457
67	836
57	293
70	8022
75	6846
22	3454
93	7043
87	4168
31	2836
89	934
3	3489
80	7605
53	6847
35	2931
30	2473
65	2827
61	727
20	5492
8	964
6	7922
74	6570
76	5728
0	2405
77	6960
82	7817
43	3665
11	4435
46	5171
2	318
69	3685
49	5593
25	2566
27	4812
39	808
92	490
64	7231
84	7995
81	5760
48	7716
44	2299
7	7061
62	6749
4	758
14	8002
26	339
23	5691
29	4710
59	3645
21	3590
28	8073
50	5708
40	431
94	8135
73	7139
83	4629
38	8183
41	5087
78	2640
58	7173
55	1464
15	8137
56	8237
95	8149
12	3031
