6	571
71	144
62	208
11	305
15	634
13	758
7	235
9	223
17	88
55	6
67	14
40	4
50	118
46	61
22	152
96	125
38	953
56	758
8	8
4	28
78	54
95	1118
68	48
10	59
74	250
1	42
65	80
42	323
64	135
12	22
58	206
19	331
33	166
28	1330
14	240
43	25
72	133
85	706
49	317
31	157
18	378
3	78
91	136
82	512
88	349
0	1
75	287
77	538
25	20
5	113
16	330
39	9
2	6
32	123
93	171
26	23
79	313
35	36
90	249
76	263
41	120
70	142
69	71
57	6
20	462
48	138
34	490
53	202
81	190
59	13
21	77
37	67
83	110
87	26
84	396
92	1
80	571
44	118
30	61
23	180
73	262
45	113
29	60
61	2
89	2
94	886
36	266
60	71
27	59
